MENTION;MENTION (AR);CODE;SEMESTRE;SESSION;FILIERE;VERSION;CODE ETUDES
TRONC COMMUN;tronc commun;TC;SEMESTRE 9;AUTOMNE;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CGFTCAS9
TRONC COMMUN;tronc commun;TC;SEMESTRE 10;PRINTEMPS;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CGFTCPS10
TRONC COMMUN;tronc commun;TC;SEMESTRE 7;AUTOMNE;MANAGEMENT, AUDIT ET CONTR‘LE;VERSION 25;MRV25MACTCAS7
TRONC COMMUN;tronc commun;TC;SEMESTRE 8;PRINTEMPS;MANAGEMENT, AUDIT ET CONTR‘LE;VERSION 25;MRV25MACTCPS8
TRONC COMMUN;tronc commun;TC;SEMESTRE 9;AUTOMNE;MANAGEMENT, AUDIT ET CONTR‘LE;VERSION 25;MRV25MACTCAS9
TRONC COMMUN;tronc commun;TC;SEMESTRE 10;PRINTEMPS;MANAGEMENT, AUDIT ET CONTR‘LE;VERSION 25;MRV25MACTCPS10
TRONC COMMUN;tronc commun;TC;SEMESTRE 7;AUTOMNE;MANAGEMENT STRAT…GIQUE DES RESSOURCES HUMAINES ET GOUVERNANCE R…GIONALE;VERSION 25;MSV25MRHTCAS7
TRONC COMMUN;tronc commun;TC;SEMESTRE 8;PRINTEMPS;MANAGEMENT STRAT…GIQUE DES RESSOURCES HUMAINES ET GOUVERNANCE R…GIONALE;VERSION 25;MSV25MRHTCPS8
TRONC COMMUN;tronc commun;TC;SEMESTRE 9;AUTOMNE;MANAGEMENT STRAT…GIQUE DES RESSOURCES HUMAINES ET GOUVERNANCE R…GIONALE;VERSION 25;MSV25MRHTCAS9
TRONC COMMUN;tronc communt;TC;SEMESTRE 10;PRINTEMPS;MANAGEMENT STRAT…GIQUE DES RESSOURCES HUMAINES ET GOUVERNANCE R…GIONALE;VERSION 25;MSV25MRHTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;…CONOMIE APPLIQU…E;VERSION 25;MRV25EATCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;…CONOMIE APPLIQU…E;VERSION 25;MRV25EATCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;…CONOMIE APPLIQU…E;VERSION 25;MRV25EATCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;…CONOMIE APPLIQU…E;VERSION 25;MRV25EATCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;FINANCE, CONTR‘LE ET AUDIT;VERSION 25;MRV25FCATCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;FINANCE, CONTR‘LE ET AUDIT;VERSION 25;MRV25FCATCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;FINANCE, CONTR‘LE ET AUDIT;VERSION 25;MRV25FCATCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;FINANCE, CONTR‘LE ET AUDIT;VERSION 25;MRV25FCATCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;MOD…LISATION ECONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFATCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;MOD…LISATION ECONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFATCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;MOD…LISATION ECONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFATCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;MOD…LISATION ECONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFATCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;GESTION ADMINISTRATIVE ET FINANCIERE  PUBLIQUE ;VERSION 25;MRV25GFPTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;GESTION ADMINISTRATIVE ET FINANCIERE  PUBLIQUE ;VERSION 25;MRV25GFPTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;GESTION ADMINISTRATIVE ET FINANCIERE  PUBLIQUE ;VERSION 25;MRV25GFPTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;GESTION ADMINISTRATIVE ET FINANCIERE  PUBLIQUE ;VERSION 25;MRV25GFPTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;ETUDES INTERNATIONALES;VERSION 25;MRV25EITCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;ETUDES INTERNATIONALES;VERSION 25;MRV25EITCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;ETUDES INTERNATIONALES;VERSION 25;MRV25EITCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;ETUDES INTERNATIONALES;VERSION 25;MRV25EITCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;CONTENTIEUX ADMINISTRATIFS ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CDTTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;CONTENTIEUX ADMINISTRATIFS ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CDTTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;CONTENTIEUX ADMINISTRATIFS ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CDTTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;CONTENTIEUX ADMINISTRATIFS ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CDTTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;DROIT FONCIER ET CONTRATS;VERSION 25;MRV25DFCTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;DROIT FONCIER ET CONTRATS;VERSION 25;MRV25DFCTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;DROIT FONCIER ET CONTRATS;VERSION 25;MRV25DFCTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;DROIT FONCIER ET CONTRATS;VERSION 25;MRV25DFCTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;DROIT PRIV… EN ARABE ;VERSION 25;LV25DRATCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;DROIT PRIV… EN ARABE ;VERSION 25;LV25DRATCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;DROIT PUBLIC EN ARABE;VERSION 25;LV25DUATCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;DROIT PUBLIC EN ARABE;VERSION 25;LV25DUATCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;DROIT PRIV… EN FRAN«AIS;VERSION 25;LV25DRFTCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;DROIT PRIV… EN FRAN«AIS;VERSION 25;LV25DRFTCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;DROIT PUBLIC EN FRAN«AIS;VERSION 25;LV25DUFTCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;DROIT PUBLIC EN FRAN«AIS;VERSION 25;LV25DUFTCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;GESTION;VERSION 25;LV25GESTCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;GESTION;VERSION 25;LV25GESTCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 1;AUTOMNE;ECONOMIE;VERSION 25;LV25ECOTCAS1
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 2;PRINTEMPS;ECONOMIE;VERSION 25;LV25ECOTCPS2
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;MANAGEMENT FINANCIER ET BANCAIRE;VERSION 25;LEV25MFBTCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;MANAGEMENT FINANCIER ET BANCAIRE;VERSION 25;LEV25MFBTCPS6
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;ETUDES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;LEV25EAFTCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;ETUDES ADMINISTRATIVES ET FINANCI»RES;VERSION 25;LEV25EAFTCPS6
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;DROIT PRIV… EN ARABE ;VERSION 25;LV25DRATCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;DROIT PRIV… EN ARABE ;VERSION 25;LV25DRATCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;DROIT PUBLIC EN ARABE;VERSION 25;LV25DUATCAS3
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;DROIT PUBLIC EN ARABE;VERSION 25;LV25DUATCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;DROIT PRIV… EN FRAN«AIS;VERSION 25;LV25DRFTCAS3
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 4;PRINTEMPS;DROIT PRIV… EN FRAN«AIS;VERSION 25;LV25DRFTCPS4
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 3;AUTOMNE;DROIT PUBLIC EN FRAN«AIS;VERSION 25;LV25DUFTCAS3
