MENTION;MENTION (AR);CODE;SEMESTRE;SESSION;FILIERE;VERSION;CODE ETUDES
ENTREPRENEURIAT, MANAGEMENT DE LíINNOVATION ET DU DIGITAL;Entrepreneuriat, management de líinnovation et du digital;EMI;SEMESTRE 5;AUTOMNE;GESTION;VERSION 26;LV26GESEMIDAS5
ENTREPRENEURIAT, MANAGEMENT DE LíINNOVATION ET DU DIGITAL;Entrepreneuriat, management de líinnovation et du digital;EMI;SEMESTRE 6;PRINTEMPS;GESTION;VERSION 26;LV26GESEMIDPS6
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 7;AUTOMNE;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 25;MRV26MACOMACOAS7
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 8;PRINTEMPS;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 25;MRV26MACOMACOPS8
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 7;AUTOMNE;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 25;MRV26EIPIDEIPIDAS7
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 8;PRINTEMPS;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 25;MRV26EIPIDEIPIDPS8
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 7;AUTOMNE;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 25;MRV25LCILCIAS7
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 8;PRINTEMPS;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 25;MRV25LCILCIPS8
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 7;AUTOMNE;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 25;MRV25CCACCAAS7
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 8;PRINTEMPS;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 25;MRV25CCACCAPS8
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 7;AUTOMNE;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 25;MRV25ESMHESMAS7
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 8;PRINTEMPS;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 25;MRV25ESMHESMPS8
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 7;AUTOMNE;JURISTE D'AFFAIRES ;VERSION 25;MRV25JFFJEFAS7
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 8;PRINTEMPS;JURISTE D'AFFAIRES ;VERSION 25;MRV25JFFJEFPS8
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 7;AUTOMNE;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 25;MRV25MBAMBAAS7
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 8;PRINTEMPS;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 25;MRV25MBAMBAPS8
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 7;AUTOMNE;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 25;MSV25MRHSOMRHAS7
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 8;PRINTEMPS;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 25;MSV25MRHSOMRHPS8
TRONC COMMUN;TRONC COMMUN;MFA;SEMESTRE 7;AUTOMNE;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFAMFAAS7
TRONC COMMUN;TRONC COMMUN;MFA;SEMESTRE 8;PRINTEMPS;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 25;MRV25MFAMFAPS8
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 7;AUTOMNE;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 25;MRV25GAFPGAFAS7
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 8;PRINTEMPS;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 25;MRV25GAFPGAFPS8
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 7;AUTOMNE;…TUDES INTERNATIONALES;VERSION 25;MRV25EINEINAS7
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 8;PRINTEMPS;…TUDES INTERNATIONALES;VERSION 25;MRV25EINEINPS8
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 7;AUTOMNE; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRV25EJMJEJMAS7
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 8;PRINTEMPS; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRV25EJMJEJMPS8
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 7;AUTOMNE;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CG2CG2AS7
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 8;PRINTEMPS;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CG2CG2PS8
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 7;AUTOMNE;JUSTICE P…NALE;VERSION 25;MRV25JP2JP2AS7
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 8;PRINTEMPS;JUSTICE P…NALE;VERSION 25;MRV25JP2JP2PS8
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 7;AUTOMNE;DROIT FONCI»RE ET CONTRATS ;VERSION 25;MRV25DF2DF2AS7
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 8;PRINTEMPS;DROIT FONCI»RE ET CONTRATS ;VERSION 25;MRV25DF2DF2PS8
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 7;AUTOMNE;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 25;MRV25DTNDTNAS7
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 8;PRINTEMPS;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 25;MRV25DTNDTNPS8
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 7;AUTOMNE;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CD2CD2AS7
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 8;PRINTEMPS;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 25;MRV25CD2CD2PS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;CONTENTIEUX DES AFFAIRES;VERSION 25;MRV25MCATCPS8
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 9;AUTOMNE;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 26;MRV26MACOMACAS9
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 10;PRINTEMPS;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 26;MRV26MACOMACPS10
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 9;AUTOMNE;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 26;MRV26EIPIDEIPAS9
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 10;PRINTEMPS;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 26;MRV26EIPIDEIPPS10
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 9;AUTOMNE;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 26;MRV26LCILCIAS9
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 10;PRINTEMPS;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 26;MRV26LCILCIPS10
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 9;AUTOMNE;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 26;MRV26CCACCAAS9
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 10;PRINTEMPS;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 26;MRV26CCACCAPS10
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 9;AUTOMNE;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 26;MRV26ESMHESMAS9
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 10;PRINTEMPS;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 26;MRV26ESMHESMPS10
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 9;AUTOMNE;JURISTE D'AFFAIRES ;VERSION 26;MRV26JFFJEFAS9
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 10;PRINTEMPS;JURISTE D'AFFAIRES ;VERSION 26;MRV26JFFJEFPS10
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 9;AUTOMNE;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 26;MRV26MBAMBAAS9
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 10;PRINTEMPS;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 26;MRV26MBAMBAPS10
ECONOMETRIE ET ANALYSE ECONOMIQUE;EconomÈtrie et analyse Èconomique;EAE;SEMESTRE 9;AUTOMNE;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAEAEAS9
ECONOMETRIE ET ANALYSE ECONOMIQUE;EconomÈtrie et analyse Èconomique;MFA;SEMESTRE 10;PRINTEMPS;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAMFAPS10
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 9;AUTOMNE;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 26;MRV26GAFPGAFAS9
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 10;PRINTEMPS;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 26;MRV26GAFPGAFPS10
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 9;AUTOMNE;…TUDES INTERNATIONALES;VERSION 26;MRV26EINEINAS9
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 10;PRINTEMPS;…TUDES INTERNATIONALES;VERSION 26;MRV26EINEINPS10
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 9;AUTOMNE; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRV26EJMJEJMAS9
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 10;PRINTEMPS; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRV26EJMJEJMPS10
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 9;AUTOMNE;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 26;MRV26CG2CG2AS9
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 10;PRINTEMPS;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 26;MRV26CG2CG2PS10
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 9;AUTOMNE;JUSTICE P…NALE;VERSION 26;MRV26JP2JP2AS9
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 10;PRINTEMPS;JUSTICE P…NALE;VERSION 26;MRV26JP2JP2PS10
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 9;AUTOMNE;DROIT FONCI»RE ET CONTRATS ;VERSION 26;MRV26DF2DF2AS9
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 10;PRINTEMPS;DROIT FONCI»RE ET CONTRATS ;VERSION 26;MRV26DF2DF2PS10
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 9;AUTOMNE;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 26;MRV26DTNDTNAS9
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 10;PRINTEMPS;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 26;MRV26DTNDTNPS10
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 9;AUTOMNE;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26CD2CD2AS9
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 10;PRINTEMPS;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26CD2CD2PS10
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 9;AUTOMNE;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 26;MSV26MRHSOMRHAS9
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 10;PRINTEMPS;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 26;MSV26MRHSOMRHPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 26;MRV26MDPCTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 26;MRV26MDPCTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;ING…NIERIE FINANCI»RE;VERSION 26;MRV26IFTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;ING…NIERIE FINANCI»RE;VERSION 26;MRV26IFTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;MANAGEMENT DES PROJETS DE D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26MPDTTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;MANAGEMENT DES PROJETS DE D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26MPDTTCPS10
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 8;PRINTEMPS;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 26;MRV26LCILCIPS8
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 7;AUTOMNE;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 26;MRV26CCACCAAS7
TRONC COMMUN;TRONC COMMUN;CCA;SEMESTRE 8;PRINTEMPS;COMPTABILIT…, CONTR‘LE ET AUDIT ;VERSION 26;MRV26CCACCAPS8
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 7;AUTOMNE;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 26;MRV26ESMHESMAS7
TRONC COMMUN;TRONC COMMUN;ESM;SEMESTRE 8;PRINTEMPS;ECONOMIE DE SANT… ET MANAGEMENT HOSPITALIER ;VERSION 26;MRV26ESMHESMPS8
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 7;AUTOMNE;JURISTE D'AFFAIRES ;VERSION 26;MRV26JFFJEFAS7
TRONC COMMUN;TRONC COMMUN;JEF;SEMESTRE 8;PRINTEMPS;JURISTE D'AFFAIRES ;VERSION 26;MRV26JFFJEFPS8
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 7;AUTOMNE;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 26;MRV26MBAMBAAS7
TRONC COMMUN;TRONC COMMUN;MBA;SEMESTRE 8;PRINTEMPS;MARKETING ET BUSINESS ADMINISTRATION ;VERSION 26;MRV26MBAMBAPS8
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 7;AUTOMNE;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 26;MSV26MRHSOMRHAS7
TRONC COMMUN;TRONC COMMUN;MRH;SEMESTRE 8;PRINTEMPS;MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;VERSION 26;MSV26MRHSOMRHPS8
TRONC COMMUN;TRONC COMMUN;MFA;SEMESTRE 7;AUTOMNE;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAMFAAS7
TRONC COMMUN;TRONC COMMUN;MFA;SEMESTRE 8;PRINTEMPS;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAMFAPS8
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 7;AUTOMNE;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 26;MRV26GAFPGAFAS7
TRONC COMMUN;TRONC COMMUN;GAF;SEMESTRE 8;PRINTEMPS;GESTION ADMINISTRATIVE ET FINANCI»RE PUBLIQUE;VERSION 26;MRV26GAFPGAFPS8
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 7;AUTOMNE;…TUDES INTERNATIONALES;VERSION 26;MRV26EINEINAS7
TRONC COMMUN;TRONC COMMUN;EIN;SEMESTRE 8;PRINTEMPS;…TUDES INTERNATIONALES;VERSION 26;MRV26EINEINPS8
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 7;AUTOMNE; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRV26EJMJEJMAS7
TRONC COMMUN;TRONC COMMUN;EJM;SEMESTRE 8;PRINTEMPS; LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRV26EJMJEJMPS8
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 7;AUTOMNE;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 26;MRV26CG2CG2AS7
TRONC COMMUN;TRONC COMMUN;CG2;SEMESTRE 8;PRINTEMPS;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 26;MRV26CG2CG2PS8
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 7;AUTOMNE;JUSTICE P…NALE;VERSION 26;MRV26JP2JP2AS7
TRONC COMMUN;TRONC COMMUN;JP2;SEMESTRE 8;PRINTEMPS;JUSTICE P…NALE;VERSION 26;MRV26JP2JP2PS8
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 7;AUTOMNE;DROIT FONCI»RE ET CONTRATS ;VERSION 26;MRV26DF2DF2AS7
TRONC COMMUN;TRONC COMMUN;DF2;SEMESTRE 8;PRINTEMPS;DROIT FONCI»RE ET CONTRATS ;VERSION 26;MRV26DF2DF2PS8
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 7;AUTOMNE;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 26;MRV26DTNDTNAS7
TRONC COMMUN;TRONC COMMUN;DTN;SEMESTRE 8;PRINTEMPS;DROIT ET TECHNOLOGIES NUM…RIQUES;VERSION 26;MRV26DTNDTNPS8
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 7;AUTOMNE;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26CD2CD2AS7
TRONC COMMUN;TRONC COMMUN;CD2;SEMESTRE 8;PRINTEMPS;CONTENTIEUX ADMINISTRATIF ET D…VELOPPEMENT TERRITORIAL;VERSION 26;MRV26CD2CD2PS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;CONTENTIEUX DES AFFAIRES;VERSION 26;MRV26MCATCPS8
TRONC COMMUN;TRONC COMMUN;LCI;SEMESTRE 7;AUTOMNE;LOGISTIQUE ET COMMERCE INTERNATIONAL ;VERSION 26;MRV26LCILCIAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRTV25EJMJTTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRTV25EJMJTTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRTV25EJMJTTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 25;MRTV25EJMJTTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;CONTENTIEUX DES AFFAIRES;VERSION 26;MRV26MCATCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRTV26EJMJTTCAS7
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 8;PRINTEMPS;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRTV26EJMJTTCPS8
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 9;AUTOMNE;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRTV26EJMJTTCAS9
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 10;PRINTEMPS;LES …TUDES JURIDIQUES ET M…TIERS DE LA JUSTICE;VERSION 26;MRTV26EJMJTTCPS10
TRONC COMMUN;TRONC COMMUN;MCA;SEMESTRE 10;PRINTEMPS;CONTENTIEUX DES AFFAIRES;VERSION 26;MRV26MCAMCAPS10
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 7;AUTOMNE;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 26;MRV26MACOMACAS7
TRONC COMMUN;TRONC COMMUN;MAC;SEMESTRE 8;PRINTEMPS;MANAGEMENT, AUDIT ET CONTR‘LE DES ORGANISATIONS ;VERSION 26;MRV26MACOMACPS8
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 7;AUTOMNE;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 26;MRV26EIPIDEIPAS7
TRONC COMMUN;TRONC COMMUN;EIP;SEMESTRE 8;PRINTEMPS;ENTREPRENEURIAT ET ING…NIERIE DE PROJETS INNOVANTS ET DURABLES ;VERSION 26;MRV26EIPIDEIPPS8
TRONC COMMUN;TRONC COMMUN;LFM;SEMESTRE 7;AUTOMNE;LEGISLATIONS DE LA FAMILLE ET LA MIGRATION;VERSION 26;MRV26LFMLFMAS7
TRONC COMMUN;TRONC COMMUN;LFM;SEMESTRE 8;PRINTEMPS;LEGISLATIONS DE LA FAMILLE ET LA MIGRATION;VERSION 26;MRV26LFMLFMPS8
TRONC COMMUN;TRONC COMMUN;LFM;SEMESTRE 9;AUTOMNE;LEGISLATIONS DE LA FAMILLE ET LA MIGRATION;VERSION 26;MRV26LFMLFMAS9
TRONC COMMUN;TRONC COMMUN;LFM;SEMESTRE 10;PRINTEMPS;LEGISLATIONS DE LA FAMILLE ET LA MIGRATION;VERSION 26;MRV26LFMLFMPS10
TRONC COMMUN;TRONC COMMUN;DAG;SEMESTRE 7;AUTOMNE;DROIT ADMINISTRATIF ET GESTION  REGIONALE ;VERSION 26;MRV26DAGRDAGAS7
TRONC COMMUN;TRONC COMMUN;DAG;SEMESTRE 8;PRINTEMPS;DROIT ADMINISTRATIF ET GESTION  REGIONALE ;VERSION 26;MRV26DAGRDAGPS8
TRONC COMMUN;TRONC COMMUN;DAG;SEMESTRE 9;AUTOMNE;DROIT ADMINISTRATIF ET GESTION  REGIONALE ;VERSION 26;MRV26DAGRDAGAS9
TRONC COMMUN;TRONC COMMUN;DAG;SEMESTRE 10;PRINTEMPS;DROIT ADMINISTRATIF ET GESTION  REGIONALE ;VERSION 26;MRV26DAGRDAGPS10
ECONOM…TRIE ET FINANCE APPLIQU…E;EconomÈtrie et finance appliquÈe;EFA;SEMESTRE 9;AUTOMNE;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAEFAAS9
ECONOM…TRIE ET FINANCE APPLIQU…E;EconomÈtrie et finance appliquÈe;EFA;SEMESTRE 10;PRINTEMPS;MOD…LISATION …CONOMIQUE ET FINANCE APPLIQU…E;VERSION 26;MRV26MFAEFAPS10
